RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
USER	SageMaker	99	END	1628679137692	1628679137703
REQUEST	100		SageMaker-LEARNING-model-simulator-1	1628679137703	1628679137722	OK	 
USER	SageMaker	101	START	1628679137722	1628679137722
USER	SageMaker	100	END	1628679137702	1628679137723
REQUEST	101		SageMaker-LEARNING-model-simulator-1	1628679137724	1628679137735	OK	 
USER	SageMaker	101	END	1628679137722	1628679137736
USER	SageMaker	102	START	1628679137743	1628679137743
USER	SageMaker	103	START	1628679137753	1628679137753
REQUEST	102		SageMaker-LEARNING-model-simulator-1	1628679137744	1628679137754	OK	 
USER	SageMaker	102	END	1628679137743	1628679137754
USER	SageMaker	104	START	1628679137773	1628679137773
REQUEST	103		SageMaker-LEARNING-model-simulator-1	1628679137754	1628679137777	OK	 
USER	SageMaker	103	END	1628679137753	1628679137778
USER	SageMaker	105	START	1628679137792	1628679137792
REQUEST	104		SageMaker-LEARNING-model-simulator-1	1628679137774	1628679137794	OK	 
USER	SageMaker	104	END	1628679137773	1628679137794
USER	SageMaker	106	START	1628679137802	1628679137802
REQUEST	105		SageMaker-LEARNING-model-simulator-1	1628679137793	1628679137805	OK	 
USER	SageMaker	105	END	1628679137792	1628679137805
REQUEST	106		SageMaker-LEARNING-model-simulator-1	1628679137803	1628679137822	OK	 
USER	SageMaker	107	START	1628679137822	1628679137822
USER	SageMaker	106	END	1628679137802	1628679137823
USER	SageMaker	108	START	1628679137843	1628679137843
REQUEST	107		SageMaker-LEARNING-model-simulator-1	1628679137824	1628679137843	OK	 
USER	SageMaker	107	END	1628679137822	1628679137844
USER	SageMaker	109	START	1628679137853	1628679137853
REQUEST	108		SageMaker-LEARNING-model-simulator-1	1628679137844	1628679137855	OK	 
USER	SageMaker	108	END	1628679137843	1628679137856
REQUEST	109		SageMaker-LEARNING-model-simulator-1	1628679137854	1628679137867	OK	 
USER	SageMaker	109	END	1628679137853	1628679137868
USER	SageMaker	110	START	1628679137872	1628679137872
REQUEST	110		SageMaker-LEARNING-model-simulator-1	1628679137873	1628679137887	OK	 
USER	SageMaker	110	END	1628679137872	1628679137887
USER	SageMaker	111	START	1628679137892	1628679137892
USER	SageMaker	112	START	1628679137902	1628679137902
REQUEST	111		SageMaker-LEARNING-model-simulator-1	1628679137893	1628679137905	OK	 
USER	SageMaker	111	END	1628679137892	1628679137905
USER	SageMaker	113	START	1628679137922	1628679137922
REQUEST	112		SageMaker-LEARNING-model-simulator-1	1628679137903	1628679137924	OK	 
USER	SageMaker	112	END	1628679137902	1628679137924
USER	SageMaker	114	START	1628679137943	1628679137943
REQUEST	113		SageMaker-LEARNING-model-simulator-1	1628679137924	1628679137947	OK	 
USER	SageMaker	113	END	1628679137922	1628679137948
USER	SageMaker	115	START	1628679137953	1628679137953
REQUEST	114		SageMaker-LEARNING-model-simulator-1	1628679137944	1628679137966	OK	 
USER	SageMaker	114	END	1628679137943	1628679137966
USER	SageMaker	116	START	1628679137972	1628679137972
REQUEST	115		SageMaker-LEARNING-model-simulator-1	1628679137954	1628679137975	OK	 
USER	SageMaker	115	END	1628679137953	1628679137976
